"Year","Name","Position","Round","Pick","College","Conference","Games","Seasons","Height","Weight","40 Yard","Bench","Broad Jump","Shuttle","3 Cone","Vertical","Pass Att","Pass Completions","Pass Yds","Pass TD","Pass Int","Passer Rating","Rush Att","Rush Yds","Rush TD","Rec","Rec Yds","Rec TD","Solo Tackles","Ast Tackles","Total Tackles","Tackles for Loss","Sacks","Int","Int Return Yards","Int TD","Pass Deflection","Fumble Recovery","Fumble Return Yards","Fumble TD","Forced Fumbles","PRs","PR Yds","PR TD","KRs","KR Yds","KR TD","XPA","XP%","FGA","FG%","Punts","Punt Avg"
2011,"Sam Acho","OLB",4,103,"Texas","Big 12",49,4,74,262,4.67,23,112,4.32,6.69,33.5,0,0,0,0,0,0,0,0,0,0,0,0,93,44,137,32.5,21,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Darvin Adams","WR",0,0,"Auburn","SEC",37,3,74,190,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,1978,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0
2011,"Danny Aiken","LS",0,0,"Virginia","0",0,0,76,244,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Ladi Ajiboye","DT",0,0,"South Carolina","SEC",49,4,73,297,5.3,23,91,4.71,7.72,24,0,0,0,0,0,0,0,0,0,0,0,0,93,54,147,14,6.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Pierre Allen","DE",0,0,"Nebraska","Big 12",52,4,75,273,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,111,182,27,13,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Armando Allen","RB",0,0,"Notre Dame","Ind",42,4,68,199,4.59,23,0,0,0,0,0,0,0,0,0,0,469,2144,8,119,833,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,113,0,54,1247,1,0,0,0,0,0,0
2011,"Anthony Allen","RB",7,225,"Georgia Tech","ACC",52,4,73,228,4.56,24,120,4.06,6.79,41.5,0,0,0,0,0,0,304,1934,13,8,200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0,0,0,0
2011,"Prince Amukamara","CB",1,19,"Nebraska","Big 12",49,4,72,206,4.38,15,128,4.08,6.97,38,0,0,0,0,0,0,0,0,0,0,0,0,100,61,161,6,4,5,63,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Matt Asiata","RB",0,0,"Utah","MWC",31,4,71,229,4.77,22,104,4.37,7.09,30,0,0,0,0,0,0,379,1748,24,54,394,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Marvin Austin","DT",2,52,"North Carolina","ACC",38,3,74,309,4.84,38,112,4.4,7.33,30.5,0,0,0,0,0,0,0,0,0,0,0,0,59,47,106,13.5,9,1,23,1,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Akeem Ayers","OLB",2,39,"UCLA","Pac-10",37,3,74,254,4.81,18,116,4.28,7.49,31,0,0,0,0,0,0,0,0,0,0,0,0,128,55,183,29.5,14,6,100,2,0,0,9,1,0,0,0,0,1,20,0,0,0,0,0,0,0
2011,"Dan Bailey","K",0,0,"Oklahoma State","Big 12",45,4,72,193,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,99,72,79.2,5,39
2011,"Allen Bailey","DE",3,86,"Miami (FL)","ACC",50,4,75,285,4.71,27,117,4.56,7.43,36.5,0,0,0,0,0,0,0,0,0,0,0,0,58,49,107,31,19,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Brandon Bair","DE",0,0,"Oregon","Pac-10",52,4,78,276,4.92,26,114,4.37,7.07,28,0,0,0,0,0,0,0,0,0,0,0,0,56,50,106,25.5,5,0,0,0,12,1,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Jon Baldwin","WR",1,26,"Pittsburgh","Big East",39,3,76,228,4.49,20,129,4.34,7.07,42,0,0,0,0,0,0,5,68,0,128,2337,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Christian Ballard","DE",4,106,"Iowa","Big Ten",49,4,76,283,4.75,0,111,4.51,7.54,31.5,0,0,0,0,0,0,0,0,0,0,0,0,60,93,153,21.5,12,0,0,0,3,0,0,0,2,0,0,0,2,32,0,0,0,0,0,0,0
2011,"Joe Barksdale","OT",3,92,"LSU","SEC",0,0,77,325,5.31,29,103,4.75,8.27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Ryan Bartholomew","C",0,0,"Syracuse","0",0,0,73,302,4.93,34,92,4.62,7.62,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Jeremy Beal","DE",7,247,"Oklahoma","Big 12",54,4,74,262,5.14,22,106,4.46,7.19,28.5,0,0,0,0,0,0,0,0,0,0,0,0,139,85,224,58.5,29,1,4,0,11,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Nick Bellore","ILB",0,0,"Central Michigan","MAC",52,4,73,245,4.84,23,109,4,6.98,32.5,0,0,0,0,0,0,0,0,0,0,0,0,229,242,471,32.5,5.5,5,103,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Damien Berry","RB",0,0,"Miami (FL)","ACC",44,4,70,211,4.58,23,120,4.12,7,33.5,0,0,0,0,0,0,283,1515,13,15,165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Armon Binns","WR",0,0,"Cincinnati","Big East",41,4,75,209,4.5,13,118,4.31,6.86,31.5,0,0,0,0,0,0,0,0,0,138,2008,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Ahmad Black","SS",5,151,"Florida","SEC",48,4,69,184,4.7,18,119,4.2,6.85,35.5,0,0,0,0,0,0,0,0,0,0,0,0,142,102,244,13,2,13,362,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Clint Boling","OG",4,101,"Georgia","SEC",0,0,77,308,5.28,28,102,4.64,7.66,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Matt Bosher","P",6,192,"Miami (FL)","ACC",51,4,73,208,4.78,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,97.7,53,84.9,234,41.7
2011,"Da'Quan Bowers","DE",2,51,"Clemson","ACC",38,3,75,280,4.92,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,61,150,44.5,19.5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Allen Bradford","RB",6,187,"Southern California","Pac-10",52,5,71,242,4.53,28,113,4.39,6.97,29,0,0,0,0,0,0,267,1585,16,14,176,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0
2011,"Niles Brinkley","CB",0,0,"Wisconsin","Big Ten",43,4,69,193,4.54,15,120,0,7.23,33.5,0,0,0,0,0,0,0,0,0,0,0,0,104,22,126,2,0,6,69,0,9,0,0,0,1,0,0,0,1,-1,0,0,0,0,0,0,0
2011,"Vincent Brown","WR",3,82,"Miami (FL)","MWC",44,4,71,187,4.68,12,121,4.25,6.64,33.5,0,0,0,0,0,0,7,34,0,209,3110,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,0,36,767,0,0,0,0,0,0,0
2011,"Jalil Brown","CB",4,118,"Colorado","Big 12",36,3,73,204,4.52,24,116,4.25,6.85,35.5,0,0,0,0,0,0,0,0,0,0,0,0,108,25,133,4.5,0,6,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"DeAndre Brown","WR",0,0,"Southern Miss","CUSA",30,3,78,233,4.59,20,117,4.33,6.93,29,0,0,0,0,0,0,3,18,0,134,2207,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0,0,0,0
2011,"Curtis Brown","CB",3,95,"Texas","Big 12",52,4,72,185,4.51,10,128,4,6.59,39.5,0,0,0,0,0,0,0,0,0,0,0,0,82,26,108,2.5,0,2,151,1,6,0,0,0,0,0,0,0,14,199,0,0,0,0,0,0,0
2011,"Chykie Brown","CB",5,164,"Texas","Big 12",44,4,71,190,4.49,0,120,4,6.5,36.5,0,0,0,0,0,0,0,0,0,0,0,0,70,28,98,8.5,4,2,15,0,6,0,0,0,1,0,0,0,1,29,0,0,0,0,0,0,0
2011,"Kendric Burney","CB",0,0,"North Carolina","ACC",44,4,69,186,4.71,14,112,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,158,51,209,17,2,11,358,3,0,0,0,0,0,1,45,0,12,92,0,0,0,0,0,0,0
2011,"Brandon Burton","CB",5,139,"Utah","MWC",37,3,72,190,4.5,18,118,4.07,6.93,32,0,0,0,0,0,0,0,0,0,0,0,0,71,30,101,5,1,3,69,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0
2011,"Mario Butler","CB",0,0,"Georgia Tech","ACC",52,4,72,182,4.65,0,120,4.37,7.09,30.5,0,0,0,0,0,0,0,0,0,0,0,0,102,35,137,10,0,4,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Jordan Cameron","TE",4,102,"Southern California","Pac-10",12,1,77,254,4.53,23,119,4.03,6.82,37.5,0,0,0,0,0,0,1,6,0,16,126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Jeff Van Camp","QB",0,0,"Florida Atlantic","Sun Belt",29,4,77,218,4.83,0,114,4.16,6.87,31,544,311,3905,29,16,129.2,98,-177,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Marcus Cannon","OT",5,138,"TCU","MWC",0,0,77,358,5.26,33,105,4.97,8.07,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Gabe Carimi","OT",1,29,"Wisconsin","0",0,0,79,314,5.18,29,109,0,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Roc Carmichael","CB",0,0,"Clemson","ACC",54,4,70,192,4.41,13,116,4.06,6.69,31,0,0,0,0,0,0,0,0,0,0,0,0,75,40,115,6.5,1,10,158,2,3,0,0,0,0,0,0,0,3,52,0,0,0,0,0,0,0
