"Year","Name","Position","Age","Round","Pick","College","Conference","Games","Seasons","Height","Weight","X40.Yard","Bench","Broad.Jump","Shuttle","X3.Cone","Vertical","Pass.Att","Pass.Completions","Pass.Yds","Pass.TD","Pass.Int","Passer.Rating","Rush.Att","Rush.Yds","Rush.TD","Rec","Rec.Yds","Rec.TD","Solo.Tackles","Ast.Tackles","Total.Tackles","Tackles.for.Loss","Sacks","Int","Int.Return.Yards","Int.TD","Pass.Deflection","Fumble.Recovery","Fumble.Return.Yards","Fumble.TD","Forced.Fumbles","PRs","PR.Yds","PR.TD","KRs","KR.Yds","KR.TD","XPA","XP.","FGA","FG.","Punts","Punt.Avg"
2012,"Andrew Luck","QB",23,1,1,"Stanford","Pac-12",38,3,76,234,4.59,0,124,4.28,6.8,36,1064,713,9430,82,22,162.8,163,957,7,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Robert Griffin","QB",22,1,2,"Baylor","Big 12",41,4,74,223,4.33,0,120,0,0,39,1192,800,10366,78,17,158.9,528,2254,33,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Trent Richardson","RB",22,1,3,"Alabama","SEC",38,3,69,228,4.48,0,0,0,0,0,0,0,0,0,0,0,540,3130,35,68,730,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,720,1,0,0,0,0,0,0
2012,"Matt Kalil","T",23,1,4,"USC","0",41,4,79,306,4.96,30,0,4.65,7.33,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Justin Blackmon","WR",22,1,5,"Oklahoma St.","Big 12",38,3,73,207,4.46,14,0,0,0,0,0,0,0,0,0,0,8,84,1,253,3564,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0
2012,"Morris Claiborne","DB",22,1,6,"LSU","SEC",33,3,71,188,4.5,0,118,4.12,7.01,34.5,0,0,0,0,0,0,0,0,0,0,0,0,54,41,95,2,0,11,274,1,9,1,0,0,0,0,0,0,24,609,1,0,0,0,0,0,0
2012,"Mark Barron","DB",22,1,7,"Alabama","SEC",52,4,73,213,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,86,235,13,5,12,145,1,11,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
2012,"Ryan Tannehill","QB",24,1,8,"Texas A&M","Big 12",50,4,76,221,4.65,0,0,0,0,0,774,484,5450,42,21,134.2,115,369,5,112,1596,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Luke Kuechly","LB",21,1,9,"Boston Col.","ACC",38,3,75,242,4.58,27,123,4.12,6.92,38,0,0,0,0,0,0,0,0,0,0,0,0,299,233,532,35.5,2.5,7,130,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2012,"Stephon Gilmore","DB",22,1,10,"South Carolina","SEC",40,3,72,190,4.38,15,123,3.94,6.61,36,0,0,0,0,0,0,0,0,0,0,0,0,140,41,181,15,7,8,86,1,0,0,0,0,0,2,47,0,28,206,0,0,0,0,0,0,0
2012,"Dontari Poe","DT",22,1,11,"Memphis","CUSA",35,3,75,346,4.89,44,105,4.56,7.9,29.5,0,0,0,0,0,0,0,0,0,0,0,0,57,44,101,21.5,5,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Fletcher Cox","DT",21,1,12,"Mississippi St.","SEC",36,3,76,298,4.77,30,103,4.53,7.07,26,0,0,0,0,0,0,0,0,0,0,0,0,53,61,114,24.5,7.5,0,0,0,0,1,52,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Michael Floyd","WR",22,1,13,"Notre Dame","Ind",43,4,75,220,4.4,16,122,0,0,36.5,0,0,0,0,0,0,4,30,1,271,3686,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0,0,0,0
2012,"Michael Brockers","DT",21,1,14,"LSU","SEC",27,2,77,322,5.31,0,105,4.81,7.46,26.5,0,0,0,0,0,0,0,0,0,0,0,0,34,45,79,11,2,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Bruce Irvin","DE",24,1,15,"West Virginia","Big East",26,2,75,245,4.41,23,123,4.03,6.7,33.5,0,0,0,0,0,0,0,0,0,0,0,0,45,16,61,29,22.5,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Quinton Coples","DE",22,1,16,"North Carolina","ACC",51,4,78,284,4.69,25,109,4.78,7.57,31.5,0,0,0,0,0,0,0,0,0,0,0,0,80,64,144,40.5,24,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Dre Kirkpatrick","DB",22,1,17,"Alabama","SEC",38,3,74,186,4.5,0,120,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,66,25,91,8,0,3,30,0,16,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Melvin Ingram","DE",23,1,18,"South Carolina","SEC",50,4,73,264,4.69,28,109,4.18,6.83,34.5,0,0,0,0,0,0,0,0,0,0,0,0,72,39,111,30.5,21.5,2,8,0,2,0,5,2,1,0,0,0,5,90,0,0,0,0,0,0,0
2012,"Shea McClellin","DE",23,1,19,"Boise St.","MWC",49,4,75,260,4.62,19,118,4.33,7.07,31.5,0,0,0,0,0,0,0,0,0,0,0,0,64,66,130,33,20.5,4,42,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Kendall Wright","WR",22,1,20,"Baylor","Big 12",50,4,70,196,4.49,0,121,4.18,6.93,38.5,0,0,0,0,0,0,75,425,2,302,4004,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,7,42,0,0,0,0,0,0,0
2012,"Chandler Jones","DE",22,1,21,"Syracuse","Big East",32,3,77,266,4.77,22,120,4.38,7.07,35,0,0,0,0,0,0,0,0,0,0,0,0,101,46,147,27,10,1,32,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Brandon Weeden","QB",28,1,22,"Oklahoma St.","Big 12",30,4,75,221,4.89,0,0,0,0,0,1103,767,9260,75,27,157.6,39,-150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Riley Reiff","T",23,1,23,"Iowa","Big Ten",41,4,78,313,5.16,23,98,4.75,7.87,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"David DeCastro","G",22,1,24,"Stanford","0",41,4,77,316,5.32,34,98,4.56,7.3,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Dont'a Hightower","LB",22,1,25,"Alabama","SEC",44,4,74,265,4.62,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,101,133,234,21,5,1,29,0,7,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Whitney Mercilus","DE",22,1,26,"Illinois","Big Ten",37,3,76,261,4.68,27,118,4.53,7.17,32,0,0,0,0,0,0,0,0,0,0,0,0,40,41,81,29,18,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Kevin Zeitler","G",22,1,27,"Wisconsin","0",41,4,76,314,5.32,32,101,4.61,7.77,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Nick Perry","DE",22,1,28,"USC","Pac-12",37,3,75,271,4.55,35,124,4.66,7.25,38.5,0,0,0,0,0,0,0,0,0,0,0,0,62,41,103,29.5,21.5,0,0,0,6,1,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0
