"Year","Name","Position","Round","Pick","College","Conference","Games","Seasons","Height","Weight","40 Yard","Bench","Broad Jump","Shuttle","3 Cone","Vertical","Pass Att","Pass Completions","Pass Yds","Pass TD","Pass Int","Passer Rating","Rush Att","Rush Yds","Rush TD","Rec","Rec Yds","Rec TD","Solo Tackles","Ast Tackles","Total Tackles","Tackles for Loss","Sacks","Int","Int Return Yards","Int TD","Pass Deflection","Fumble Recovery","Fumble Return Yards","Fumble TD","Forced Fumbles","PRs","PR Yds","PR TD","KRs","KR Yds","KR TD","XPA","XP%","FGA","FG%","Punts","Punt Avg"
2010,"Seyi Ajirotutu","WR",0,0,"Fresno State","WAC",46,4,75,204,4.6,14,115,4.39,7.22,36,0,0,0,0,0,0,2,3,1,129,1997,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"Rahim Alem","DE",0,0,"LSU","SEC",43,4,75,251,4.75,0,106,4.8,7.54,30.5,0,0,0,0,0,0,0,0,0,0,0,0,43,29,72,24.5,14.5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2010,"Danario Alexander","WR",0,0,"Missouri","Big 12",47,4,77,215,4.62,0,0,0,0,0,0,0,0,0,0,0,11,59,0,191,2778,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"Charles Alexander","DT",0,0,"LSU","SEC",42,5,76,300,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,58,88,6.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"Nate Allen","FS",2,37,"South Florida","Big East",48,4,72,207,4.5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,84,226,5,1,9,139,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"Tyson Alualu","DE",1,10,"California","Pac-10",51,4,74,295,4.87,21,116,4.43,7.15,35.5,0,0,0,0,0,0,0,0,0,0,0,0,80,115,195,26,16,1,8,0,5,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
2010,"Jonathon Amaya","FS",0,0,"Nebraska","WAC",45,4,73,203,4.43,8,118,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,140,95,235,9.5,1,7,128,1,0,0,0,0,0,0,0,0,7,57,0,0,0,0,0,0,0
2010,"Pat Angerer","ILB",2,63,"Iowa","Big Ten",43,4,72,235,4.71,26,110,4.29,7.04,35,0,0,0,0,0,0,0,0,0,0,0,0,95,163,258,11.5,2,6,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"Lucien Antoine","SS",0,0,"Oklahoma State","Big 12",15,2,72,215,4.62,28,120,4.47,7.38,32,0,0,0,0,0,0,0,0,0,0,0,0,54,13,67,6,2,2,52,1,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0
2010,"Javier Arenas","CB",2,50,"Alabama","SEC",52,4,69,197,4.6,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,50,154,17.5,7,6,88,1,0,0,0,0,0,90,2166,0,125,1752,7,0,0,0,0,0,0
