Year,Name,Position,Age,College,Conference,Games,Seasons,Height,Weight,40 Yard,Bench,Broad Jump,Shuttle,3 Cone,Vertical,Pass Att,Pass Completions,Pass Yds,Pass TD,Pass Int,Passer Rating,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Solo Tackles,Ast Tackles,Total Tackles,Tackles for Loss,Sacks,Int,Int Return Yards,Int TD,Pass Deflection,Fumble Recovery,Fumble Return Yards,Fumble TD,Forced Fumbles,PRs,PR Yds,PR TD,KRs,KR Yds,KR TD,XPA,XP%,FGA,FG%,Punts,Punt Avg
2008,Nick Bawden,FB,21,San Diego St.,MWC,24,3,74,245,4.72,22,121,4.11,7.15,30,0,0,0,0,0,0,12,47,0,30,240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Davin Bellamy,EDGE,22,Georgia,SEC,42,4,77,255,4.75,15,123,4.21,7.09,33,0,0,0,0,0,0,0,0,0,0,0,0,61,74,135,24,13,0,0,0,5,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2008,Kurt Benkert,QB,21,Virginia,ACC,27,3,75,218,4.95,16,112,4.33,7.15,31,915,526,5759,46,20,122.6,125,-157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Braxton Berrios,WR,22,Miami,ACC,46,4,69,184,4.46,11,122,4.3,6.65,32.5,0,0,0,0,0,0,4,72,0,100,1175,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,0,47,488,1,0,0,0,0,0,0
2008,Keishawn Bierria,ILB,22,Washington,Pac-12,50,4,74,230,4.79,21,117,4.4,7.26,30.5,0,0,0,0,0,0,0,0,0,0,0,0,154,86,240,19.5,7.5,0,0,0,4,7,0,0,4,0,0,0,1,45,1,0,0,0,0,0,0
2008,Quin Blanding,S,22,Virginia,ACC,49,4,74,215,4.63,19,122,4.24,6.78,31.5,0,0,0,0,0,0,0,0,0,0,0,0,259,233,492,9,1,10,108,1,16,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,David Bright,OT,22,Stanford,0,41,4,77,307,5.18,19,101,4.58,7.58,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Andrew Brown,DE,22,Virginia,ACC,34,4,76,296,5.03,31,101,4.48,7.51,28,0,0,0,0,0,0,0,0,0,0,0,0,42,52,94,26.5,10.5,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,Drew Brown,K,22,Nebraska,Big Ten,51,4,70,208,5.04,21,102,4.53,7.5,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,98.3,55,81.8,0,0
2008,Orlando Brown,OT,22,Oklahoma,0,41,4,80,345,5.85,14,82,5.38,7.87,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Tony Brown,CB,22,Alabama,SEC,39,4,72,198,4.35,14,126,4.11,6.78,31.5,0,0,0,0,0,0,0,0,0,0,0,0,56,30,86,4.5,0.5,3,9,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,Equanimeous St. brown,WR,21,Notre Dame,Ind,26,3,77,214,4.48,20,125,4.43,6.96,34,0,0,0,0,0,0,0,0,0,92,1484,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0
2008,Taven Bryan,DT,21,Florida,SEC,30,3,76,291,4.98,30,119,4.48,7.12,35,0,0,0,0,0,0,0,0,0,0,0,0,30,32,62,10.5,5.5,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,Oren Burks,OLB,22,Vanderbilt,SEC,42,4,75,233,4.59,18,131,4.15,6.82,39.5,0,0,0,0,0,0,0,0,0,0,0,0,129,99,228,15.5,4.5,5,99,1,21,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,Deontay Burnett,WR,21,USC,Pac-12,32,3,72,186,4.47,15,139,4.2,7.32,41,0,0,0,0,0,0,5,29,0,152,1897,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0,0,0,0
2008,Jason Cabinda,ILB,22,Penn St.,Big Ten,40,4,73,239,4.78,19,109,4.35,6.89,32,0,0,0,0,0,0,0,0,0,0,0,0,116,169,285,17.5,7,1,0,0,11,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2008,Deon Cain,WR,21,Clemson,ACC,40,3,74,202,4.43,11,115,4.37,6.71,33.5,0,0,0,0,0,0,1,-5,0,130,2040,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Antonio Callaway,WR,20,Florida,SEC,26,2,71,200,4.41,22,121,4.2,6.71,34,0,0,0,0,0,0,8,51,1,89,1399,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,176,1,55,653,2,0,0,0,0,0,0
2008,Dylan Cantrell,WR,22,Texas Tech,Big 12,40,4,75,226,4.59,18,130,4.03,6.56,38.5,0,0,0,0,0,0,1,3,1,158,1873,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Tanner Carew,LS,22,Oregon,Pac-12,41,4,73,243,5,18,111,4.28,7.26,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Daniel Carlson,K,22,Auburn,SEC,53,4,77,213,4.75,18,108,4.32,6.84,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,100,114,80.7,8,39.6
2008,Lorenzo Carter,EDGE,22,Georgia,SEC,48,4,78,250,4.5,19,130,4.26,6.87,36,0,0,0,0,0,0,0,0,0,0,0,0,83,83,166,21.5,14,0,0,0,1,6,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0
2008,Andre Chachere,CB,22,San Jose St.,MWC,38,4,72,200,4.49,13,123,4.07,6.78,38,0,0,0,0,0,0,0,0,0,0,0,0,93,29,122,4.5,1,7,169,0,26,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2008,Sean Chandler,S,22,LSU,American,48,4,72,190,4.65,16,119,4.62,6.91,34.5,0,0,0,0,0,0,0,0,0,0,0,0,183,82,265,13.5,3,10,212,2,23,2,0,0,4,0,0,0,24,269,0,0,0,0,0,0,0
