"Year","Name","Position","Age","Round","Pick","College","Conference","Games","Seasons","Height","Weight","X40.Yard","Bench","Broad.Jump","Shuttle","X3.Cone","Vertical","Pass.Att","Pass.Completions","Pass.Yds","Pass.TD","Pass.Int","Passer.Rating","Rush.Att","Rush.Yds","Rush.TD","Rec","Rec.Yds","Rec.TD","Solo.Tackles","Ast.Tackles","Total.Tackles","Tackles.for.Loss","Sacks","Int","Int.Return.Yards","Int.TD","Pass.Deflection","Fumble.Recovery","Fumble.Return.Yards","Fumble.TD","Forced.Fumbles","PRs","PR.Yds","PR.TD","KRs","KR.Yds","KR.TD","XPA","XP.","FGA","FG.","Punts","Punt.Avg"
2014,"Jadeveon Clowney","DE",21,1,1,"South Carolina","SEC",24,2,77,266,4.53,21,124,4.43,7.27,37.5,0,0,0,0,0,0,0,0,0,0,0,0,85,44,129,47,24,0,0,0,7,1,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Greg Robinson","T",21,1,2,"Auburn","SEC",41,4,77,332,4.92,32,113,4.86,7.8,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Blake Bortles","QB",22,1,3,"Central Florida","American",37,3,77,232,4.93,0,115,4.21,7.08,32.5,891,585,7598,56,19,153.8,195,561,15,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Sammy Watkins","WR",21,1,4,"Clemson","ACC",36,3,73,211,4.43,16,126,4.34,6.95,34,0,0,0,0,0,0,52,339,1,240,3391,27,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,0,60,1376,1,0,0,0,0,0,0
2014,"Khalil Mack","LB",23,1,5,"Buffalo","MAC",37,3,75,251,4.65,23,128,4.18,7.08,40,0,0,0,0,0,0,0,0,0,0,0,0,185,142,327,74.5,28.5,4,148,2,21,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Jake Matthews","T",22,1,6,"Texas A&M","Pac-12",41,4,77,308,5.07,24,105,4.47,7.34,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Mike Evans","WR",21,1,7,"Texas A&M","SEC",26,2,77,231,4.53,12,0,4.26,7.08,37,0,0,0,0,0,0,0,0,0,151,2499,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Justin Gilbert","DB",22,1,8,"Oklahoma St.","Big 12",51,4,72,202,4.37,20,126,0,6.92,35.5,0,0,0,0,0,0,0,0,0,0,0,0,153,29,182,3.5,0,12,180,2,18,1,0,0,1,8,55,0,102,2681,6,0,0,0,0,0,0
2014,"Anthony Barr","LB",22,1,9,"UCLA","Pac-12",50,4,77,255,4.66,15,119,4.19,6.82,34.5,0,0,0,0,0,0,0,0,0,0,0,0,105,47,152,41.5,23.5,0,0,0,1,4,0,0,6,0,0,0,1,10,0,0,0,0,0,0,0
2014,"Eric Ebron","TE",21,1,10,"North Carolina","ACC",34,3,76,250,4.6,24,120,0,0,32,0,0,0,0,0,0,2,7,0,112,1805,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Taylor Lewan","T",23,1,11,"Michigan","Big Ten",41,4,79,309,4.87,29,117,4.49,7.39,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Odell Beckham","WR",21,1,12,"LSU","SEC",40,3,71,198,4.38,7,122,3.94,6.69,38.5,0,0,0,0,0,0,7,77,0,143,2340,12,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1044,0,62,557,2,0,0,0,0,0,0
2014,"Aaron Donald","DT",23,1,13,"Pittsburgh","ACC",39,3,73,285,4.68,35,116,4.39,7.11,32,0,0,0,0,0,0,0,0,0,0,0,0,115,66,181,66,29.5,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Kyle Fuller","DB",22,1,14,"Virginia Tech","ACC",46,4,72,190,4.49,12,128,4.19,6.9,38.5,0,0,0,0,0,0,0,0,0,0,0,0,129,44,173,23.5,4.5,6,10,0,21,1,0,0,3,0,0,0,3,41,1,0,0,0,0,0,0
2014,"Ryan Shazier","LB",22,1,15,"Ohio St.","Big Ten",39,3,73,237,4.58,25,130,4.21,6.91,42,0,0,0,0,0,0,0,0,0,0,0,0,210,107,317,45.5,15,1,17,1,4,0,0,0,5,0,0,0,1,25,0,0,0,0,0,0,0
2014,"Zack Martin","G",23,1,16,"Notre Dame","Ind",41,4,76,308,5.22,29,106,4.59,7.65,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
