"Year","Name","Position","Round","Pick","College","Conference","Games","Seasons","Height","Weight","40 Yard","Bench","Broad Jump","Shuttle","3 Cone","Vertical","Pass Att","Pass Completions","Pass Yds","Pass TD","Pass Int","Passer Rating","Rush Att","Rush Yds","Rush TD","Rec","Rec Yds","Rec TD","Solo Tackles","Ast Tackles","Total Tackles","Tackles for Loss","Sacks","Int","Int Return Yards","Int TD","Pass Deflection","Fumble Recovery","Fumble Return Yards","Fumble TD","Forced Fumbles","PRs","PR Yds","PR TD","KRs","KR Yds","KR TD","XPA","XP%","FGA","FG%","Punts","Punt Avg"
2009,"Kevin Akins","OLB",0,0,"Boston College","ACC",48,4,74,218,4.73,15,117,4.15,6.78,31.5,0,0,0,0,0,0,0,0,0,0,0,0,98,34,132,20.5,15,5,97,0,0,0,13,1,0,0,0,0,2,24,0,0,0,0,0,0,0
2009,"Asher Allen","CB",3,86,"Georgia","SEC",39,3,69,194,4.48,22,115,4.3,6.93,35,0,0,0,0,0,0,0,0,0,0,0,0,114,27,141,9,3,3,4,0,0,0,0,0,0,10,146,0,47,1110,0,0,0,0,0,0,0
2009,"Stanley Arnoux","ILB",4,118,"Wake Forest","ACC",51,4,72,232,4.56,19,121,4.39,7.22,31.5,0,0,0,0,0,0,0,0,0,0,0,0,131,120,251,21.5,5,4,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Robert Ayers","DE",1,18,"Tennessee","SEC",48,4,75,272,4.77,18,102,4.51,7.56,29.5,0,0,0,0,0,0,0,0,0,0,0,0,80,33,113,31.5,9,1,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Kevin Barnes","CB",3,80,"Maryland","ACC",42,4,72,187,4.45,0,128,3.96,6.72,38.5,0,0,0,0,0,0,0,0,0,0,0,0,74,25,99,5.5,0,6,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Connor Barwin","OLB",2,46,"Cincinnati","Big East",50,4,76,256,4.47,21,128,4.18,6.87,40.5,0,0,0,0,0,0,0,0,0,0,0,0,40,22,62,14.5,11,0,0,0,0,0,0,0,0,0,0,0,3,38,0,0,0,0,0,0,0
2009,"Will Beatty","OT",2,60,"Texas Tech","Big East",0,0,78,307,5.06,27,107,4.77,7.62,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Travis Beckum","TE",3,100,"Wisconsin","Big Ten",42,4,75,243,4.61,28,0,0,0,0,0,0,0,0,0,0,8,25,0,159,2149,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Darry Beckwith","ILB",0,0,"LSU","SEC",35,3,72,242,4.63,23,110,4.5,7.39,26.5,0,0,0,0,0,0,0,0,0,0,0,0,84,97,181,11,4.5,2,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Kahlil Bell","RB",0,0,"UCLA","Pac-10",37,4,71,212,4.74,15,114,4.2,6.87,34.5,0,0,0,0,0,0,395,1741,17,29,196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,212,0,0,0,0,0,0,0
2009,"Michael Bennett","DE",0,0,"Texas A&M","Big 12",47,4,75,274,4.86,24,110,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,51,61,112,19.5,6.5,1,1,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Ron Brace","DT",2,40,"Boston College","ACC",47,4,75,330,5.48,32,99,4.73,8.15,28,0,0,0,0,0,0,0,0,0,0,0,0,50,35,85,22,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Tom Brandstater","QB",6,174,"Fresno State","WAC",45,4,77,220,4.87,0,106,4.37,6.93,28.5,989,584,6857,47,32,126.5,132,152,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Justin Brantly","P",0,0,"Texas A&M","Big 12",48,4,75,249,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,44.4
2009,"Travis Bright","OG",0,0,"BYU","MWC",0,0,76,321,5.26,34,108,4.72,7.75,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Jasper Brinkley","ILB",5,150,"South Carolina","SEC",30,3,74,252,4.67,26,114,4.32,7.03,35.5,0,0,0,0,0,0,0,0,0,0,0,0,142,51,193,20,7.5,3,40,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Kenny Britt","WR",1,30,"Rutgers","Big East",34,3,75,218,4.47,23,124,4.47,0,37,0,0,0,0,0,0,7,75,1,178,3043,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Eben Britton","OT",2,39,"Arizona","Pac-10",0,0,78,309,5.14,24,100,4.91,7.87,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Everette Brown","DE",2,43,"Florida State","ACC",39,3,73,256,4.65,26,114,4.53,7.55,31.5,0,0,0,0,0,0,0,0,0,0,0,0,71,28,99,46.5,23,0,0,0,5,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Donald Brown","RB",1,27,"Connecticut","Big East",37,3,70,210,4.46,0,125,4.1,6.93,41.5,0,0,0,0,0,0,698,3800,33,48,276,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,210,0,0,0,0,0,0,0
2009,"Cody Brown","OLB",2,63,"Connecticut","Big East",42,4,74,244,4.76,26,120,4.4,7.1,36.5,0,0,0,0,0,0,0,0,0,0,0,0,85,64,149,44.5,23,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2009,"Andre Brown","RB",4,129,"North Carolina State","ACC",44,4,72,224,4.37,24,115,4.33,7.35,37,0,0,0,0,0,0,523,2539,22,70,631,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,17,341,0,0,0,0,0,0,0
2009,"Rob Bruggeman","C",0,0,"Iowa","0",0,0,76,293,5.05,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"David Bruton","FS",4,114,"Notre Dame","Ind",48,4,74,219,4.4,19,132,4.28,6.6,41.5,0,0,0,0,0,0,0,0,0,0,0,0,137,76,213,7,1,7,77,0,1,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0
2009,"David Buehler","K",5,172,"Southern California","Pac-10",39,3,74,227,4.57,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,97.5,33,78.8,0,0
2009,"Joe Burnett","CB",5,168,"Central Florida","CUSA",50,4,69,192,4.58,22,118,4.25,6.68,35.5,0,0,0,0,0,0,0,0,0,0,0,0,178,43,221,12,0,16,262,0,0,0,0,0,0,28,791,2,96,1304,3,0,0,0,0,0,0
2009,"Victor Butler","OLB",4,110,"Oregon State","Pac-10",48,4,74,248,4.72,24,113,4.4,7.21,33,0,0,0,0,0,0,0,0,0,0,0,0,58,52,110,40,26,1,30,0,0,1,4,0,4,0,0,0,1,9,0,0,0,0,0,0,0
2009,"Deon Butler","WR",3,91,"Penn State","Big Ten",50,4,70,182,4.31,12,118,4.48,7.01,34.5,0,0,0,0,0,0,4,-3,0,179,2771,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Darius Butler","CB",2,41,"Connecticut","Big East",45,4,70,183,4.41,0,134,4.18,6.92,43,0,0,0,0,0,0,0,0,0,0,0,0,125,56,181,7.5,0,10,213,2,0,0,0,0,0,0,0,0,35,895,1,0,0,0,0,0,0
