"Year","Name","Position","Round","Pick","College","Conference","Games","Seasons","Height","Weight","40 Yard","Bench","Broad Jump","Shuttle","3 Cone","Vertical","Pass Att","Pass Completions","Pass Yds","Pass TD","Pass Int","Passer Rating","Rush Att","Rush Yds","Rush TD","Rec","Rec Yds","Rec TD","Solo Tackles","Ast Tackles","Total Tackles","Tackles for Loss","Sacks","Int","Int Return Yards","Int TD","Pass Deflection","Fumble Recovery","Fumble Return Yards","Fumble TD","Forced Fumbles","PRs","PR Yds","PR TD","KRs","KR Yds","KR TD","XPA","XP%","FGA","FG%","Punts","Punt Avg"
2015,"Ameer Abdullah","RB",2,54,"Nebraska","Big Ten",53,4,69,205,4.6,24,130,3.95,6.79,42.5,0,0,0,0,0,0,813,4588,39,73,690,7,0,0,0,0,0,0,0,0,0,0,0,0,0,31,316,1,61,1592,1,0,0,0,0,0,0
2015,"Nelson Agholor","WR",1,20,"Southern California","Pac-12",40,3,72,198,4.42,12,0,0,0,0,0,0,0,0,0,0,7,18,0,178,2572,20,0,0,0,0,0,0,0,0,0,0,0,0,0,24,443,0,37,540,4,0,0,0,0,0,0
2015,"Jay Ajayi","RB",5,149,"Boise State","MWC",38,3,72,221,4.57,19,121,4.1,7.1,39,0,0,0,0,0,0,678,3796,50,73,771,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0
2015,"Kwon Alexander","OLB",4,124,"LSU","SEC",25,2,73,227,4.55,24,121,4.2,7.14,36,0,0,0,0,0,0,0,0,0,0,0,0,78,89,167,15,1.5,0,0,0,5,1,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Mario Alford","WR",7,238,"West Virginia","Big 12",22,2,68,180,4.43,13,121,4.07,6.64,34,0,0,0,0,0,0,7,61,0,92,1497,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-13,0,37,972,2,0,0,0,0,0,0
2015,"Javorius Allen","RB",4,125,"Southern California","Pac-12",29,3,72,221,4.53,11,121,4.28,6.96,35.5,0,0,0,0,0,0,417,2306,25,63,710,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Adrian Amos","FS",5,142,"Penn State","Big Ten",48,4,72,218,4.56,0,122,4.03,7.09,35.5,0,0,0,0,0,0,0,0,0,0,0,0,101,47,148,9,3,7,135,0,15,0,0,0,0,0,0,0,12,236,0,0,0,0,0,0,0
2015,"Rory Anderson","TE",7,254,"South Carolina","SEC",43,4,77,244,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,954,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Henry Anderson","DE",3,93,"Stanford","Pac-12",33,3,78,294,4.97,0,111,4.19,7.2,30,0,0,0,0,0,0,0,0,0,0,0,0,77,64,141,31,16.5,0,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Dres Anderson","WR",0,0,"Utah","Pac-12",43,4,73,187,4.54,13,0,0,0,0,0,0,0,0,0,0,25,143,1,134,2077,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,251,0,0,0,0,0,0,0
2015,"Stephone Anthony","ILB",1,31,"Clemson","ACC",52,4,75,243,4.56,23,122,4.03,7.07,37,0,0,0,0,0,0,0,0,0,0,0,0,153,101,254,34.5,9.5,3,8,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Arik Armstead","DE",1,17,"Oregon","Pac-12",20,2,79,292,5.06,24,117,4.53,7.57,34,0,0,0,0,0,0,0,0,0,0,0,0,42,45,87,10.5,4,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Cameron Artis-Payne","RB",5,174,"Auburn","SEC",26,2,70,212,4.53,0,118,0,7.13,36.5,0,0,0,0,0,0,394,2218,19,14,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Neiron Ball","OLB",5,161,"Florida","SEC",43,4,74,236,4.65,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,57,94,5.5,3,1,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Tavaris Barnes","DE",0,0,"Clemson","ACC",25,3,76,282,4.8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,46,9,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Vic Beasley","OLB",1,8,"Clemson","ACC",32,3,75,246,4.53,35,130,4.15,6.91,41,0,0,0,0,0,0,0,0,0,0,0,0,67,16,83,48,30,0,0,0,7,2,16,1,7,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Kenny Bell","WR",5,162,"Nebraska","Big Ten",53,4,73,197,4.42,7,129,4.15,6.66,41.5,0,0,0,0,0,0,6,109,1,181,2689,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,51,1277,1,0,0,0,0,0,0
2015,"Blake Bell","TE",4,117,"Oklahoma","Big 12",40,4,78,252,4.8,14,116,4.32,6.85,33,0,0,0,0,0,0,181,631,24,16,214,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Mike Bennett","DT",6,180,"Ohio State","Big Ten",41,3,74,293,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,49,110,31.5,18,0,0,0,4,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2015,"E.J. Bibbs","TE",0,0,"Iowa State","Big 12",22,2,74,258,4.88,20,0,0,0,0,0,0,0,0,0,0,0,0,0,84,844,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0
2015,"Angelo Blackson","DT",4,100,"Auburn","SEC",35,3,76,318,5.02,20,101,4.57,7.5,31,0,0,0,0,0,0,0,0,0,0,0,0,32,33,65,17,4.5,0,0,0,2,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0
2015,"Al Bond","OG",0,0,"Memphis","American",0,0,76,303,5.57,22,90,4.65,7.9,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Detrick Bonner","FS",0,0,"Virginia Tech","ACC",52,4,72,207,4.56,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,74,206,14.5,4,5,111,1,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,"Anthony Boone","QB",0,0,"Duke","ACC",46,4,72,231,5.03,0,100,4.62,7.47,26.5,923,540,5789,38,24,119.6,230,800,16,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
