"Year","Name","Position","Round","Pick","College","Conference","Games","Seasons","Height","Weight","40 Yard","Bench","Broad Jump","Shuttle","3 Cone","Vertical","Pass Att","Pass Completions","Pass Yds","Pass TD","Pass Int","Passer Rating","Rush Att","Rush Yds","Rush TD","Rec","Rec Yds","Rec TD","Solo Tackles","Ast Tackles","Total Tackles","Tackles for Loss","Sacks","Int","Int Return Yards","Int TD","Pass Deflection","Fumble Recovery","Fumble Return Yards","Fumble TD","Forced Fumbles","PRs","PR Yds","PR TD","KRs","KR Yds","KR TD","XPA","XP%","FGA","FG%","Punts","Punt Avg"
2017,"Rodney Adams","WR",5,170,"South Florida","American",38,4,73,189,4.44,8,125,4.28,6.98,29.5,0,0,0,0,0,0,39,370,7,134,1961,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1123,1,0,0,0,0,0,0
2017,"Montravius Adams","DT",3,93,"Auburn","SEC",49,4,76,304,4.87,22,108,4.89,7.62,29,0,0,0,0,0,0,0,0,0,0,0,0,77,70,147,19.5,10.5,2,43,0,3,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Jamal Adams","SS",1,6,"LSU","SEC",36,3,72,214,4.56,18,120,4.13,6.96,31.5,0,0,0,0,0,0,0,0,0,0,0,0,128,81,209,18,2,5,30,0,14,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Quincy Adeboyejo","WR",0,0,"Mississippi","SEC",38,4,75,197,4.42,8,123,4.14,6.73,34.5,0,0,0,0,0,0,1,-1,0,106,1454,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Jonathan Allen","DT",1,17,"Alabama","SEC",50,4,75,286,5,21,108,4.5,7.49,30,0,0,0,0,0,0,0,0,0,0,0,0,78,74,152,44.5,28,0,75,1,6,3,30,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Brian Allen","CB",5,173,"Utah","Pac-12",26,3,75,215,4.48,15,117,4.34,6.64,34.5,0,0,0,0,0,0,0,0,0,0,0,0,44,18,62,4.5,1,5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Ryan Anderson","OLB",2,49,"Alabama","SEC",44,4,74,253,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,60,128,39.5,19,1,26,1,3,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Alex Anzalone","OLB",3,76,"Florida","SEC",18,4,75,241,4.63,16,116,4.25,6.88,30.5,0,0,0,0,0,0,0,0,0,0,0,0,33,42,75,5,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Isaac Asiata","OG",5,164,"Utah","Pac-12",0,0,75,323,5.34,35,102,4.93,7.83,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Chidobe Awuzie","CB",2,60,"Colorado","Pac-12",48,4,72,202,4.43,16,132,4.14,6.81,34.5,0,0,0,0,0,0,0,0,0,0,0,0,212,53,265,25,9,3,40,0,25,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Toby Baker","P",0,0,"Arkansas","SEC",25,3,75,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,43
2017,"Budda Baker","FS",2,36,"Washington","Pac-12",39,3,70,195,4.45,15,115,4.08,6.76,32.5,0,0,0,0,0,0,0,0,0,0,0,0,138,61,199,13,4,5,62,0,18,0,0,0,3,0,0,0,1,40,0,0,0,0,0,0,0
2017,"Zach Banner","OG",4,137,"Southern California","Pac-12",0,0,80,353,5.58,22,92,5.21,8.31,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Derek Barnett","DE",1,14,"Tennessee","SEC",39,3,75,259,4.88,0,117,4.44,6.96,31,0,0,0,0,0,0,0,0,0,0,0,0,131,67,198,52,32,1,7,0,6,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2017,"Tarell Basham","DE",3,80,"Ohio","MAC",50,4,76,269,4.7,15,119,4.35,7.27,31.5,0,0,0,0,0,0,0,0,0,0,0,0,75,77,152,38.5,27,0,0,0,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
