"Year","Name","Position","Round","Pick","College","Conference","Games","Seasons","Height","Weight","40 Yard","Bench","Broad Jump","Shuttle","3 Cone","Vertical","Pass Att","Pass Completions","Pass Yds","Pass TD","Pass Int","Passer Rating","Rush Att","Rush Yds","Rush TD","Rec","Rec Yds","Rec TD","Solo Tackles","Ast Tackles","Total Tackles","Tackles for Loss","Sacks","Int","Int Return Yards","Int TD","Pass Deflection","Fumble Recovery","Fumble Return Yards","Fumble TD","Forced Fumbles","PRs","PR Yds","PR TD","KRs","KR Yds","KR TD","XPA","XP%","FGA","FG%","Punts","Punt Avg"
2013,"Oday Aboushi","OT",5,141,"Virginia","ACC",0,0,77,308,5.41,17,100,4.84,7.92,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Johnny Adams","CB",0,0,"Michigan State","Big Ten",51,4,70,185,4.48,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,48,157,11,4,11,230,2,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Ryan Allen","P",0,0,"Louisiana Tech","WAC",37,3,73,229,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,44.9
2013,"Keenan Allen","WR",3,76,"California","Pac-12",33,3,74,206,4.58,0,0,0,0,0,0,0,0,0,0,0,30,230,2,205,2570,17,0,0,0,0,0,0,0,0,0,0,0,0,0,18,406,0,21,252,1,0,0,0,0,0,0
2013,"Kiko Alonso","ILB",2,46,"Oregon","Pac-12",37,4,75,238,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,45,144,21,3.5,6,68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,"David Amerson","CB",2,51,"North Carolina State","ACC",39,3,73,205,4.44,15,127,0,0,35.5,0,0,0,0,0,0,0,0,0,0,0,0,126,51,177,3,0,18,287,3,0,0,0,0,0,0,0,0,2,42,0,0,0,0,0,0,0
2013,"C.J. Anderson","RB",0,0,"California","Pac-12",25,2,68,224,4.6,17,119,4.12,7.15,32,0,0,0,0,0,0,198,1135,12,22,350,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0
2013,"Ziggy Ansah","DE",1,5,"BYU","Ind",31,3,77,271,4.56,21,118,4.26,7.11,34.5,0,0,0,0,0,0,0,0,0,0,0,0,39,33,72,13,4.5,1,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Marc Anthony","CB",7,247,"California","Pac-12",33,3,71,196,4.63,12,118,4.07,6.74,35,0,0,0,0,0,0,0,0,0,0,0,0,96,41,137,13,0,5,96,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Tavon Austin","WR",1,8,"West Virginia","Big 12",52,4,68,174,4.34,14,120,4.01,0,32,0,0,0,0,0,0,110,1033,6,288,3413,29,0,0,0,0,0,0,0,0,0,0,0,0,0,34,433,1,97,2407,4,0,0,0,0,0,0
2013,"Stedman Bailey","WR",3,92,"West Virginia","Big 12",39,3,70,193,4.52,11,117,4.09,6.81,34.5,0,0,0,0,0,0,2,13,0,210,3218,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,213,0,0,0,0,0,0,0
