"Year","Name","Position","Age","Round","Pick","College","Conference","Games","Seasons","Height","Weight","X40.Yard","Bench","Broad.Jump","Shuttle","X3.Cone","Vertical","Pass.Att","Pass.Completions","Pass.Yds","Pass.TD","Pass.Int","Passer.Rating","Rush.Att","Rush.Yds","Rush.TD","Rec","Rec.Yds","Rec.TD","Solo.Tackles","Ast.Tackles","Total.Tackles","Tackles.for.Loss","Sacks","Int","Int.Return.Yards","Int.TD","Pass.Deflection","Fumble.Recovery","Fumble.Return.Yards","Fumble.TD","Forced.Fumbles","PRs","PR.Yds","PR.TD","KRs","KR.Yds","KR.TD","XPA","XP.","FGA","FG.","Punts","Punt.Avg"
2016,"Paxton Lynch","QB",22,1,26,"Memphis","American",38,3,79,244,4.86,0,118,4.26,7.14,36,1205,758,8863,59,23,137,288,687,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Kenny Clark","DT",20,1,27,"UCLA","Pac-12",37,3,75,314,5.06,29,102,4.62,0,28.5,0,0,0,0,0,0,0,0,0,0,0,0,96,63,159,20,6.5,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Joshua Garnett","G",22,1,28,"Stanford","Pac-12",41,4,76,312,5.32,30,99,4.64,7.62,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Robert Nkemdiche","DT",22,1,29,"Mississippi","SEC",29,3,75,294,4.87,28,116,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,41,40,81,16,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Vernon Butler","DT",22,1,30,"Louisiana Tech","CUSA",37,3,76,323,5.33,26,104,4.76,7.82,29.5,0,0,0,0,0,0,0,0,0,0,0,0,87,81,168,28.5,5,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Germain Ifedi","G",22,1,31,"Texas A&M","0",41,4,78,324,5.27,24,109,4.75,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Emmanuel Ogbah","DE",22,2,32,"Oklahoma St.","Big 12",39,3,76,273,4.63,20,121,4.5,7.26,35.5,0,0,0,0,0,0,0,0,0,0,0,0,95,38,133,35.5,26.5,0,0,0,9,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Kevin Dodd","DE",24,2,33,"Clemson","ACC",21,3,77,277,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,27,82,26.5,12.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Jaylon Smith","OLB",21,2,34,"Notre Dame","Ind",38,3,74,223,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,116,284,23.5,4.5,1,-1,0,10,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Hunter Henry","TE",21,2,35,"Arkansas","SEC",35,3,77,250,4.79,13,0,0,0,0,0,0,0,0,0,0,0,0,0,116,1661,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Myles Jack","OLB",21,2,36,"UCLA","Pac-12",29,3,73,245,4.56,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,61,178,15,1,4,111,1,19,2,0,0,1,0,0,0,2,35,0,0,0,0,0,0,0
2016,"Chris Jones","DT",22,2,37,"Mississippi St.","SEC",38,3,78,310,5.03,26,106,4.62,7.44,24.5,0,0,0,0,0,0,0,0,0,0,0,0,42,60,102,18,8.5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Xavien Howard","CB",23,2,38,"Baylor","Big 12",29,3,72,201,4.58,11,122,4.15,7.18,33,0,0,0,0,0,0,0,0,0,0,0,0,84,14,98,5.5,1.5,10,121,0,23,1,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Noah Spence","DE",22,2,39,"East. Kentucky","Big Ten",13,1,74,251,4.8,25,121,4.35,7.21,35,0,0,0,0,0,0,0,0,0,0,0,0,31,31,62,15,8.5,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Sterling Shepard","WR",22,2,40,"Oklahoma","Big 12",49,4,70,194,4.48,20,123,4.35,7,41,0,0,0,0,0,0,17,109,1,233,3482,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,30,221,0,0,0,0,0,0,0
2016,"Reggie Ragland","ILB",23,2,41,"Alabama","SEC",38,3,73,247,4.72,0,116,4.28,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,117,103,220,17.5,4,1,1,0,10,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Kamalei Correa","DE",22,2,42,"Boise St.","MWC",37,3,75,243,4.69,21,108,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,69,41,110,31.5,20,0,0,0,2,0,0,0,5,0,0,0,1,37,0,0,0,0,0,0,0
